time,x,y,velocity_x,velocity_y,acceleration_x,acceleration_y,theta,firing
16.9,7.47711,-0.0904991,-0.128589,0.544616,0,0,-2.56313,0
17,7.46425,-0.0360375,-0.128589,0.544616,0,0,-2.56452,0
17.1,7.45139,0.018424,-0.128589,0.544616,0,0,-2.5658,0
17.2,7.43853,0.0728856,-0.128589,0.544616,0,0,-2.56692,0
17.3,7.42567,0.127347,-0.128589,0.544616,0,0,-2.56786,0
17.4,7.41281,0.181809,-0.128589,0.544616,0,0,-2.56858,0
17.5,7.39996,0.23627,-0.128589,0.544616,0,0,-2.56905,0
17.6,7.3871,0.290732,-0.128589,0.544616,0,0,-2.56925,0
17.7,7.37424,0.345193,-0.128589,0.544616,0,0,-2.56913,0
17.8,7.36138,0.399655,-0.128589,0.544616,0,0,-2.56867,0
17.9,7.34852,0.454117,-0.128589,0.544616,0,0,-2.56783,0
18,7.33566,0.508578,-0.128589,0.544616,0,0,-2.56658,0
18.1,7.3228,0.56304,-0.128589,0.544616,0,0,-2.56489,0
18.2,7.30994,0.617501,-0.128589,0.544616,0,0,-2.56271,0
18.3,7.29708,0.671963,-0.128589,0.544616,0,0,-2.56003,0
18.4,7.28422,0.726424,-0.128589,0.544616,0,0,-2.5568,0
18.5,7.27137,0.780886,-0.128589,0.544616,0,0,-2.55299,0
18.6,7.25851,0.835347,-0.128589,0.544616,0,0,-2.54856,0
18.7,7.24565,0.889809,-0.128589,0.544616,0,0,-2.54348,0
18.8,7.23279,0.944271,-0.128589,0.544616,0,0,-2.5377,0
18.9,7.21993,0.998732,-0.128589,0.544616,0,0,-2.53119,0
19,7.20707,1.05319,-0.128589,0.544616,0,0,-2.52391,0
19.1,7.19421,1.10766,-0.128589,0.544616,0,0,-2.51582,0
19.2,7.18135,1.16212,-0.128589,0.544616,0,0,-2.50686,0
19.3,7.16849,1.21658,-0.128589,0.544616,0,0,-2.497,0
19.4,7.15564,1.27104,-0.128589,0.544616,0,0,-2.48619,0
19.5,7.14278,1.3255,-0.128589,0.544616,0,0,-2.47437,0
19.6,7.12992,1.37996,-0.128589,0.544616,0,0,-2.4615,0
19.7,7.11706,1.43442,-0.128589,0.544616,0,0,-2.44751,0
19.8,7.1042,1.48889,-0.128589,0.544616,0,0,-2.43235,0
19.9,7.09134,1.54335,-0.128589,0.544616,0,0,-2.41595,0
20,7.07848,1.59781,-0.128589,0.544616,0,0,-2.39824,0
20.1,7.06562,1.65227,-0.128589,0.544616,0,0,-2.37915,0
20.2,7.05276,1.70673,-0.128589,0.544616,0,0,-2.3586,0
20.3,7.03991,1.76119,-0.128589,0.544616,0,0,-2.3365,0
20.4,7.02705,1.81566,-0.128589,0.544616,0,0,-2.31276,0
20.5,7.01419,1.87012,-0.128589,0.544616,0,0,-2.28729,0
20.6,7.00133,1.92458,-0.128589,0.544616,0,0,-2.25996,0
20.7,6.98847,1.97904,-0.128589,0.544616,0,0,-2.23066,0
20.8,6.97561,2.0335,-0.128589,0.544616,0,0,-2.19925,0
20.9,6.96275,2.08796,-0.128589,0.544616,0,0,-2.1656,0
21,6.94989,2.14242,-0.128589,0.544616,0,0,-2.12954,0
21.1,6.93703,2.19689,-0.128589,0.544616,0,0,-2.09089,0
21.2,6.92418,2.25135,-0.128589,0.544616,0,0,-2.04947,0
21.3,6.91132,2.30581,-0.128589,0.544616,0,0,-2.00504,0
21.4,6.89846,2.36027,-0.128589,0.544616,0,0,-1.95738,0
21.5,6.8856,2.41473,-0.128589,0.544616,0,0,-1.90621,0
21.6,6.87274,2.46919,-0.128589,0.544616,0,0,-1.85122,0
21.7,6.86032,2.52561,-0.11981,0.58364,0.0877893,0.390247,-1.79207,1
21.8,6.84854,2.58596,-0.115688,0.623427,0.0412259,0.39787,-1.67404,1
21.9,6.83671,2.65029,-0.120974,0.663076,-0.0528634,0.396491,-1.43825,1
22,6.82367,2.71836,-0.13982,0.698359,-0.18846,0.352821,-1.0802,1
22.1,6.80804,2.78933,-0.172787,0.721012,-0.329668,0.226536,-0.602059,1
22.2,6.78876,2.86147,-0.21278,0.721775,-0.399927,0.00763147,-0.0190798,1
22.3,6.76588,2.93246,-0.244967,0.698027,-0.321871,-0.237485,0.635666,1
22.4,6.74087,3.00032,-0.255072,0.659324,-0.101051,-0.387025,1.3154,1
22.5,6.71616,3.06442,-0.239274,0.622576,0.157977,-0.367482,1.9768,1
22.6,6.69395,3.12565,-0.204935,0.602061,0.343387,-0.205148,2.60307,1
22.7,6.67438,3.18763,-0.186485,0.637552,0.184509,0.354903,-58.5989,1
22.8,6.65519,3.25331,-0.197254,0.676074,-0.107698,0.385229,-57.8469,1
22.9,6.63353,3.32142,-0.235998,0.68602,-0.38744,0.0994513,-56.7999,1
23,6.60899,3.38825,-0.254732,0.650678,-0.187336,-0.353419,-55.4653,1
23.1,6.58519,3.45223,-0.221184,0.628893,0.335475,-0.217846,-53.983,1
23.2,6.56433,3.51667,-0.19604,0.660002,0.251448,0.311085,-52.5161,1
23.3,6.54333,3.5841,-0.224074,0.688533,-0.280347,0.285317,-51.0597,1
23.4,6.51945,3.6516,-0.253522,0.661462,-0.294477,-0.270709,-49.5221,1
23.5,6.49539,3.71623,-0.227551,0.63104,0.259707,-0.304224,-47.9881,1
23.6,6.47444,3.7802,-0.191567,0.648507,0.359847,0.174672,-46.672,1
23.7,6.45549,3.84704,-0.187341,0.688283,0.0422565,0.397762,-45.6589,1
23.8,6.43548,3.91741,-0.212905,0.719049,-0.255637,0.307652,-44.8598,1
23.9,6.41223,3.98969,-0.252179,0.726635,-0.392739,0.0758666,-44.1731,1
24,6.38517,4.06156,-0.288848,0.710655,-0.366694,-0.159799,-43.5713,1
24.1,6.35504,4.13106,-0.313901,0.679473,-0.250534,-0.311821,-43.0883,1
24.2,6.32297,4.19713,-0.327447,0.641837,-0.135455,-0.376367,-42.757,1
24.3,6.29002,4.25932,-0.331568,0.602049,-0.0412079,-0.397872,-42.5147,1
24.4,6.25721,4.31756,-0.324627,0.562656,0.0694095,-0.393932,-42.2371,1
24.5,6.22575,4.3721,-0.304498,0.52809,0.201288,-0.345663,-41.8842,1
24.6,6.19689,4.42369,-0.272723,0.503792,0.317744,-0.242979,-41.4935,1
24.7,6.17154,4.47353,-0.234221,0.492949,0.385023,-0.10843,-41.1152,1
24.8,6.15012,4.52293,-0.194278,0.49508,0.399432,0.0213087,-40.7874,1
24.9,6.1326,4.57304,-0.156156,0.507191,0.381223,0.121114,-40.5331,1
25,6.11876,4.62468,-0.120645,0.525603,0.355107,0.184116,-40.3624,1
25.1,6.10838,4.67831,-0.0868379,0.546982,0.338069,0.213797,-40.2768,1
25.2,6.10139,4.73409,-0.0531071,0.568482,0.337308,0.214996,-40.2732,1
25.3,6.09784,4.79188,-0.0178895,0.587449,0.352175,0.189665,-40.3467,1
25.4,6.09793,4.85131,0.0196937,0.601141,0.375833,0.136929,-40.4913,1
25.5,6.10188,4.91171,0.0593012,0.606731,0.396075,0.0558997,-40.7005,1
25.6,6.10979,4.97213,0.0989873,0.60173,0.39686,-0.0500193,-40.9661,1
25.7,6.1215,5.03146,0.135234,0.584812,0.362466,-0.169171,-41.2774,1
25.8,6.13645,5.08853,0.163679,0.55669,0.284451,-0.281225,-41.6204,1
25.9,6.15366,5.14238,0.180485,0.520392,0.168064,-0.36298,-41.9779,1
26,6.17187,5.19243,0.183726,0.480523,0.0324095,-0.398685,-42.3304,1
